




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	Client Text Box Input (15)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
post-embryonic animal morphogenesis (GO:0009886)	17	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to DNA damage (GO:1990248)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of hydrolase activity (GO:0051346)	357	0	.24	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrolase activity (GO:0051345)	508	0	.35	-	 < 0.01	1.00E00	1.00E00
negative regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051344)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H2A-T120 phosphorylation (GO:1990245)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051343)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic pattern specification (GO:0009880)	70	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051342)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of oxidoreductase activity (GO:0051341)	93	0	.06	-	 < 0.01	1.00E00	1.00E00
protein transport along microtubule (GO:0098840)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ligase activity (GO:0051340)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1905636)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to chromatin (GO:1905634)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to glyceraldehyde (GO:1905631)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of lyase activity (GO:0051339)	42	0	.03	-	 < 0.01	1.00E00	1.00E00
folate transmembrane transport (GO:0098838)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
response to glyceraldehyde (GO:1905630)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of hydrolase activity (GO:0051336)	943	0	.64	-	 < 0.01	1.00E00	1.00E00
regulation of serotonin biosynthetic process (GO:1905627)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitotic interphase (GO:0051329)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation of inhibitory postsynaptic potential (GO:0098828)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
paranodal junction maintenance (GO:1990227)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interphase (GO:0051325)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
prophase (GO:0051324)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate derivative transport (GO:1901264)	62	0	.04	-	 < 0.01	1.00E00	1.00E00
metaphase (GO:0051323)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic cell cycle (GO:0051321)	299	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of miRNA mediated inhibition of translation (GO:1905618)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of miRNA mediated inhibition of translation (GO:1905616)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA cap binding (GO:1905612)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G2 phase (GO:0051319)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of mRNA cap binding (GO:1905610)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G1 phase (GO:0051318)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
evoked excitatory postsynaptic potential (GO:0098817)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage colony-stimulating factor production (GO:1901258)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
determination of bilateral symmetry (GO:0009855)	135	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage colony-stimulating factor production (GO:1901257)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
modulation of excitatory postsynaptic potential (GO:0098815)	55	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage colony-stimulating factor production (GO:1901256)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
spontaneous synaptic transmission (GO:0098814)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair involved in interstrand cross-link repair (GO:1901255)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear chromosome segregation (GO:0098813)	212	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular transport of viral material (GO:1901254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of intracellular transport of viral material (GO:1901253)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of intracellular transport of viral material (GO:1901252)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic metaphase plate congression (GO:0051311)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter reuptake (GO:0098810)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
metaphase plate congression (GO:0051310)	57	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of lung goblet cell differentiation (GO:1901250)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of metanephric cap mesenchymal cell proliferation (GO:0090096)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of metanephric cap mesenchymal cell proliferation (GO:0090095)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
metanephric cap mesenchymal cell proliferation involved in metanephros development (GO:0090094)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of smooth muscle cell-matrix adhesion (GO:1905609)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of presynapse assembly (GO:1905608)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of presynapse assembly (GO:1905607)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of extracellular matrix disassembly (GO:0090091)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of presynapse assembly (GO:1905606)	37	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	132	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood-brain barrier permeability (GO:1905605)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood-brain barrier permeability (GO:1905604)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of blood-brain barrier permeability (GO:1905603)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of receptor-mediated endocytosis involved in cholesterol transport (GO:1905602)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of receptor-mediated endocytosis involved in cholesterol transport (GO:1905601)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
female meiosis chromosome separation (GO:0051309)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of lung goblet cell differentiation (GO:1901249)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of receptor-mediated endocytosis involved in cholesterol transport (GO:1905600)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
male meiosis chromosome separation (GO:0051308)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of lung ciliated cell differentiation (GO:1901248)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic chromosome separation (GO:0051307)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic sister chromatid separation (GO:0051306)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of lung ciliated cell differentiation (GO:1901246)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chromosome movement towards spindle pole (GO:0051305)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
chromosome separation (GO:0051304)	30	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of chromosome localization (GO:0051303)	75	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of cell division (GO:0051302)	163	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of renal system process (GO:0098801)	41	0	.03	-	 < 0.01	1.00E00	1.00E00
cell division (GO:0051301)	493	0	.34	-	 < 0.01	1.00E00	1.00E00
regulation of dipeptide transport (GO:0090089)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of oligopeptide transport (GO:0090088)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein deubiquitination (GO:0090086)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of protein deubiquitination (GO:0090085)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of inclusion body assembly (GO:0090084)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of inclusion body assembly (GO:0090083)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway (GO:0090082)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of heart induction by regulation of canonical Wnt signaling pathway (GO:0090081)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway (GO:0090080)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
abscission (GO:0009838)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of convergent extension involved in axis elongation (GO:1901233)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of convergent extension involved in axis elongation (GO:1901232)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of non-canonical Wnt signaling pathway via JNK cascade (GO:1901231)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
foam cell differentiation (GO:0090077)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
relaxation of skeletal muscle (GO:0090076)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
relaxation of muscle (GO:0090075)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein homodimerization activity (GO:0090074)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of ribosome biogenesis (GO:0090071)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-1-mediated signaling pathway (GO:0070498)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of non-canonical Wnt signaling pathway via JNK cascade (GO:1901229)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
unidimensional cell growth (GO:0009826)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of thrombin-activated receptor signaling pathway (GO:0070495)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter involved in heart development (GO:1901228)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of thrombin-activated receptor signaling pathway (GO:0070494)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription from RNA polymerase II promoter involved in heart development (GO:1901227)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thrombin-activated receptor signaling pathway (GO:0070493)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of NIK/NF-kappaB signaling (GO:1901224)	68	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of NIK/NF-kappaB signaling (GO:1901223)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
alkaloid metabolic process (GO:0009820)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of NIK/NF-kappaB signaling (GO:1901222)	96	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of ribosome biogenesis (GO:0090069)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell cycle process (GO:0090068)	232	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of thalamus size (GO:0090067)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of anatomical structure size (GO:0090066)	570	0	.39	-	 < 0.01	1.00E00	1.00E00
regulation of production of siRNA involved in RNA interference (GO:0090065)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of microtubule nucleation (GO:0090063)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
T cell aggregation (GO:0070489)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neutrophil aggregation (GO:0070488)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
monocyte aggregation (GO:0070487)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
leukocyte aggregation (GO:0070486)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
detection of hypoxia (GO:0070483)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of neuron death (GO:1901216)	126	0	.09	-	 < 0.01	1.00E00	1.00E00
response to oxygen levels (GO:0070482)	218	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of neuron death (GO:1901215)	253	0	.17	-	 < 0.01	1.00E00	1.00E00
flavonoid metabolic process (GO:0009812)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of neuron death (GO:1901214)	379	0	.26	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter involved in heart development (GO:1901213)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
stilbene metabolic process (GO:0009810)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac chamber formation (GO:1901211)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac chamber formation (GO:1901210)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oocyte development (GO:0048599)	41	0	.03	-	 < 0.01	1.00E00	1.00E00
embryonic morphogenesis (GO:0048598)	627	0	.43	-	 < 0.01	1.00E00	1.00E00
post-embryonic camera-type eye morphogenesis (GO:0048597)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic camera-type eye morphogenesis (GO:0048596)	30	0	.02	-	 < 0.01	1.00E00	1.00E00
camera-type eye morphogenesis (GO:0048593)	147	0	.10	-	 < 0.01	1.00E00	1.00E00
eye morphogenesis (GO:0048592)	173	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell migration involved in sprouting angiogenesis (GO:0090051)	16	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA (guanine-N7)-methylation (GO:0070476)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
rRNA base methylation (GO:0070475)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of heart looping (GO:1901208)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of uterine smooth muscle contraction (GO:0070474)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of heart looping (GO:1901207)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
coumarin metabolic process (GO:0009804)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of uterine smooth muscle contraction (GO:0070473)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of uterine smooth muscle contraction (GO:0070472)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
uterine smooth muscle contraction (GO:0070471)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of extracellular matrix assembly (GO:1901203)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of extracellular matrix assembly (GO:1901202)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of extracellular matrix assembly (GO:1901201)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
determination of affect (GO:0050894)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sensory processing (GO:0050893)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
intestinal absorption (GO:0050892)	28	0	.02	-	 < 0.01	1.00E00	1.00E00
developmental cell growth (GO:0048588)	103	0	.07	-	 < 0.01	1.00E00	1.00E00
multicellular organismal water homeostasis (GO:0050891)	58	0	.04	-	 < 0.01	1.00E00	1.00E00
cognition (GO:0050890)	343	0	.23	-	 < 0.01	1.00E00	1.00E00
regulation of cell migration involved in sprouting angiogenesis (GO:0090049)	39	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to stimulus (GO:0048584)	2281	0	1.56	-	 < 0.01	3.92E-01	1.00E00
positive regulation of deacetylase activity (GO:0090045)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of tubulin deacetylation (GO:0090044)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of tubulin deacetylation (GO:0090043)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
tubulin deacetylation (GO:0090042)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nitrogen catabolite activation of transcription from RNA polymerase II promoter (GO:0001080)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
plus-end specific microtubule depolymerization (GO:0070462)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
thyroid-stimulating hormone secretion (GO:0070460)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
endocrine process (GO:0050886)	56	0	.04	-	 < 0.01	1.00E00	1.00E00
neuromuscular process controlling balance (GO:0050885)	69	0	.05	-	 < 0.01	1.00E00	1.00E00
neuromuscular process controlling posture (GO:0050884)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
musculoskeletal movement, spinal reflex action (GO:0050883)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
voluntary musculoskeletal movement (GO:0050882)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
nitrogen catabolite regulation of transcription from RNA polymerase II promoter (GO:0001079)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
musculoskeletal movement (GO:0050881)	46	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein kinase C signaling (GO:0090038)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein kinase C signaling (GO:0090037)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein kinase C signaling (GO:0090036)	21	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of chaperone-mediated protein complex assembly (GO:0090035)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of chaperone-mediated protein complex assembly (GO:0090034)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
notochord morphogenesis (GO:0048570)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of steroid hormone biosynthetic process (GO:0090032)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of steroid hormone biosynthetic process (GO:0090031)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of steroid hormone biosynthetic process (GO:0090030)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
prolactin secretion (GO:0070459)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cellular detoxification of nitrogen compound (GO:0070458)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of heme biosynthetic process (GO:0070455)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of heme biosynthetic process (GO:0070453)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
multicellular organismal movement (GO:0050879)	46	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of body fluid levels (GO:0050878)	346	0	.24	-	 < 0.01	1.00E00	1.00E00
brown fat cell differentiation (GO:0050873)	38	0	.03	-	 < 0.01	1.00E00	1.00E00
post-embryonic animal organ development (GO:0048569)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
white fat cell differentiation (GO:0050872)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic organ development (GO:0048568)	501	0	.34	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell activation (GO:0050871)	273	0	.19	-	 < 0.01	1.00E00	1.00E00
ectodermal digestive tract morphogenesis (GO:0048567)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell activation (GO:0050870)	201	0	.14	-	 < 0.01	1.00E00	1.00E00
embryonic digestive tract development (GO:0048566)	33	0	.02	-	 < 0.01	1.00E00	1.00E00
digestive tract development (GO:0048565)	121	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of monocyte chemotaxis (GO:0090027)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of monocyte chemotaxis (GO:0090026)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
post-embryonic animal organ morphogenesis (GO:0048563)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of monocyte chemotaxis (GO:0090025)	30	0	.02	-	 < 0.01	1.00E00	1.00E00
embryonic organ morphogenesis (GO:0048562)	326	0	.22	-	 < 0.01	1.00E00	1.00E00
negative regulation of neutrophil chemotaxis (GO:0090024)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
establishment of animal organ orientation (GO:0048561)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of neutrophil chemotaxis (GO:0090023)	27	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of anatomical structure orientation (GO:0048560)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of neutrophil chemotaxis (GO:0090022)	34	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of oligodendrocyte progenitor proliferation (GO:0070447)	6	0	.00	-	 < 0.01	1.00E00	1.00E00
negative regulation of oligodendrocyte progenitor proliferation (GO:0070446)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
regulation of oligodendrocyte progenitor proliferation (GO:0070445)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of B cell activation (GO:0050869)	36	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell activation (GO:0050868)	125	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell activation (GO:0050867)	545	0	.37	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell activation (GO:0050866)	216	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of cell activation (GO:0050865)	790	0	.54	-	 < 0.01	1.00E00	1.00E00
regulation of B cell activation (GO:0050864)	323	0	.22	-	 < 0.01	1.00E00	1.00E00
regulation of T cell activation (GO:0050863)	322	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell receptor signaling pathway (GO:0050862)	18	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell receptor signaling pathway (GO:0050861)	7	0	.00	-	 < 0.01	1.00E00	1.00E00
embryonic digestive tract morphogenesis (GO:0048557)	20	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell receptor signaling pathway (GO:0050860)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of pinocytosis (GO:0048550)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor signaling pathway involved in primitive streak formation (GO:0090010)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070434)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
